qid,retriever,text,figure_question,figure_in_top_k,figure_rank,section_in_top_k,terms_in_top_k
Q01,hybrid,bm25=1.0,False,,,True,1.0
Q02,hybrid,bm25=1.0,False,,,True,1.0
Q03,hybrid,bm25=1.0,True,True,2.0,True,
Q04,hybrid,bm25=1.0,True,True,3.0,True,
Q05,hybrid,bm25=1.0,False,,,True,1.0
Q06,hybrid,bm25=1.0,True,False,31.0,True,
Q07,hybrid,bm25=1.0,False,,,True,1.0
Q08,hybrid,bm25=1.0,False,,,True,1.0
Q09,hybrid,bm25=1.0,False,,,True,1.0
Q10,hybrid,bm25=1.0,True,True,8.0,True,
Q11,hybrid,bm25=1.0,True,True,2.0,True,
Q12,hybrid,bm25=1.0,True,True,6.0,True,
Q13,hybrid,bm25=1.0,False,,,True,1.0
Q14,hybrid,bm25=1.0,False,,,True,0.75
Q15,hybrid,bm25=1.0,True,True,1.0,True,
Q16,hybrid,bm25=1.0,False,,,True,1.0
Q17,hybrid,bm25=1.0,False,,,True,1.0
Q18,hybrid,bm25=1.0,True,True,3.0,True,
Q19,hybrid,bm25=1.0,False,,,True,1.0
Q20,hybrid,bm25=1.0,False,,,True,1.0
Q21,hybrid,bm25=1.0,True,True,1.0,True,
Q22,hybrid,bm25=1.0,True,False,,True,
Q23,hybrid,bm25=1.0,False,,,True,0.8
Q24,hybrid,bm25=1.0,True,True,7.0,True,
Q25,hybrid,bm25=1.0,False,,,True,1.0
Q26,hybrid,bm25=1.0,True,False,19.0,True,
Q27,hybrid,bm25=1.0,True,True,1.0,True,
Q28,hybrid,bm25=1.0,False,,,True,1.0
Q29,hybrid,bm25=1.0,True,True,8.0,True,
Q30,hybrid,bm25=1.0,True,True,3.0,True,
Q31,hybrid,bm25=1.0,False,,,True,1.0
Q32,hybrid,bm25=1.0,False,,,True,1.0
Q33,hybrid,bm25=1.0,True,True,3.0,True,
Q34,hybrid,bm25=1.0,True,True,7.0,True,
Q35,hybrid,bm25=1.0,True,False,9.0,True,
Q36,hybrid,bm25=1.0,True,False,25.0,True,
Q37,hybrid,bm25=1.0,True,True,4.0,True,
Q38,hybrid,bm25=1.0,True,False,12.0,False,
Q39,hybrid,bm25=1.0,False,,,True,1.0
Q40,hybrid,bm25=1.0,True,False,16.0,True,
Q41,hybrid,bm25=1.0,True,True,8.0,False,
Q42,hybrid,bm25=1.0,True,True,6.0,False,
Q43,hybrid,bm25=1.0,False,,,True,1.0
Q44,hybrid,bm25=1.0,True,True,9.0,True,
Q45,hybrid,bm25=1.0,True,False,,True,
Q46,hybrid,bm25=1.0,False,,,True,1.0
Q47,hybrid,bm25=1.0,True,True,4.0,True,
Q48,hybrid,bm25=1.0,True,True,4.0,True,
Q01,hybrid,bm25=0.7,False,,,True,1.0
Q02,hybrid,bm25=0.7,False,,,True,1.0
Q03,hybrid,bm25=0.7,True,True,2.0,True,
Q04,hybrid,bm25=0.7,True,True,3.0,True,
Q05,hybrid,bm25=0.7,False,,,True,1.0
Q06,hybrid,bm25=0.7,True,False,19.0,True,
Q07,hybrid,bm25=0.7,False,,,True,1.0
Q08,hybrid,bm25=0.7,False,,,True,1.0
Q09,hybrid,bm25=0.7,False,,,True,1.0
Q10,hybrid,bm25=0.7,True,True,8.0,True,
Q11,hybrid,bm25=0.7,True,True,2.0,True,
Q12,hybrid,bm25=0.7,True,True,6.0,True,
Q13,hybrid,bm25=0.7,False,,,True,1.0
Q14,hybrid,bm25=0.7,False,,,True,0.75
Q15,hybrid,bm25=0.7,True,True,1.0,True,
Q16,hybrid,bm25=0.7,False,,,True,1.0
